Article Title,Program Name,Image source,Alt Text,Description
4 Kriteria Menteri Pilihan Anies,Headline News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/NleC04Y7/t_6509aba256613.jpg?w=300,4 Kriteria Menteri Pilihan Anies,
Helikopter Water Bombing Dikerahkan Padamkan Kebakaran TPA Puri Cempo,Headline News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/koGCVvPe/t_6509abedef962.jpg?w=300,Helikopter Water Bombing Dikerahkan Padamkan Kebakaran TPA Puri Cempo,"Badan Nasional Penanggulangan Bencana (BNPB) mengerahkan helikopter untuk memadamkan api di tempat pembuangan akhir (TPA) Putri Cempo Surakarta, Jawa Tengah. TPA tersebut terbakar sejak empat hari lalu, tapi api sulit dipadamkan sehingga harus menggunakan metode pemadaman water bombing.Satu helikopter Super Puma dari BNPB dikerahkan untuk memadamkan api penyebab polusi asap di TPA Putri Cempo, Surakarta, Jawa Tengah.Pemadaman jalur udara dilakukan setelah empat hari Damkar Gabungan berupaya memadamkan api melalui jalur darat. Pemadaman via darat disebut tidak kunjung membuahkan hasil maksimal untuk titik api yang sulit dijangkau. Helikopter Super Puma dikerahkan untuk memadamkan api di lokasi yang sulit dijangkau di beberapa titik. Pemadaman melalui jalur udara akan terus dilaksanakan hingga titik api di TPA ini hilang. Sementara itu karena sudah ada upaya pemadaman jalur udara, pemadaman jalur darat pun dihentikan. Dalam satu hari, helikopter Super Puma dapat mengambil air sekitar 50 kali trip atau perjalanan."
Kemenkes Imbau Kewaspadaan terhadap Virus Nipah Ditingkatkan,Headline News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/KYVCJOqY/t_6509aa965a7b0.jpg?w=300,Kemenkes Imbau Kewaspadaan terhadap Virus Nipah Ditingkatkan,
Menpora Kukuhkan Tim Indonesia untuk Asian Games Hangzhou,Primetime News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/NOlCYLOM/t_6509a979b9f70.jpg?w=300,Menpora Kukuhkan Tim Indonesia untuk Asian Games Hangzhou,"Menteri Pemuda dan Olahraga Dito Ariotedjo mengukuhkan tim Kontingen Indonesia menuju Asian Games 2022 Hangzhou yang akan berlangsung 23 September hingga 8 Oktober 2023.Indonesia yang mengirimkan total 413 atlet itu menargetkan meraih 12 medali emas.Pengukuhan Tim Indonesia untuk Asian Games 2022 digelar di Auditorium Kementerian PUPR. Atlet 26 cabang olahraga hadir di antaranya basket, angkat besi, tenis, atletik hingga e-sport. Indonesia total mengirimkan 413 atlet dengan rincian 235 putra dan 178 putri dari 30 cabang olahraga. Menpora menyebut, Asian Games menjadi target antara dan menjadi tolak ukur untuk perjuangan menuju Olimpiade Paris 2024.Gelaran Asian Games sebelumnya digelar di Tanah Air pada 2018 lalu. Saat itu, Indonesia menduduki peringkat ke-4 dengan perolehan 31 emas, 24 perak, dan 43 perunggu.""Kita tetap dengan target kita di 12 medali emas,"" ujar Menpora Dito Ariotedjo."
Pemulihan Bromo Butuh Waktu hingga 5 Tahun,Primetime News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/kBVC2YPd/t_6509a6a966916.jpg?w=300,Pemulihan Bromo Butuh Waktu hingga 5 Tahun,"Butuh biaya besar dan waktu hingga lima tahun untuk memulihkan vegetasi di kawasan Bromo yang terbakar akibat flare pasangan prewedding beberapa waktu lalu. Hal ini disampaikan oleh Balai Besar Taman Nasional Bromo Tengger Semeru (TNBTS).""Kalau pohonnya kita harus melakukan enrichment planting. Jadi kalau misalkan ada yang mati nanti kita ganti dengan tanaman baru,"" kata Kabag TU BB TNBTS Septi Eka Warhani.Rerumputan di Padang Savana Bukit Teletubbies dan kawasan seputar Gunung Bromo yang terbakar diprediksi bakal segera tumbuh kembali jika hujan turun. Namun pada musim kemarau seperti saat ini, pertumbuhan padang rumput dan ilalang membutuhkan waktu berhari-hari, bahkan berminggu-minggu.Sedangkan di beberapa titik yang ditumbuhi tanaman keras seperti cemara dan akasia, pengelola Bromo menyebut perlu waktu lama dan biaya besar. Bahkan tidak ternilai untuk memulihkan kembali kondisi alam seperti sebelum terbakar."
Anies Tak Menagih Ongkos Pilpres,Headline News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/NQAC2gE7/t_6509b4c5a1f50.jpg?w=300,Anies Tak Menagih Ongkos Pilpres,
Kejagung Tetapkan Tersangka Baru Kasus Korupsi Tol MBZ,Headline News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/b3JCyaPX/t_6509a51072eea.jpg?w=300,Kejagung Tetapkan Tersangka Baru Kasus Korupsi Tol MBZ,
"Gempa di Pesisir Barat, Getaran Terasa hingga Lampung Barat",Headline News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/kewClJyd/t_6509a3da30ec8.jpg?w=300,"Gempa di Pesisir Barat, Getaran Terasa hingga Lampung Barat",
Gibran Minta Maaf Asap Kebakaran TPA Putri Cempo Sampai Karanganyar,Primetime News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/bmRCmqo4/t_6509a39bb30d8.jpg?w=300,Gibran Minta Maaf Asap Kebakaran TPA Putri Cempo Sampai Karanganyar,"Wali Kota Surakarta Gibran Rakabuming Raka kembali meminta maaf, khususnya kepada warga Karanganyar yang terdampak langsung asap imbas kebakaran Tempat Pembuangan Akhir (TPA) Putri Cempo. Sejumlah sekolah turut terdampak asap berbahaya tersebut.Gibran mengaku sudah berkoordinasi perihal imbas asap ke sejumlah sekolah dasar di wilayah lain. Termasuk di SDN Plesungan II, Karanganyar. Pasalnya, arah angin bergerak ke atas menuju Desa Plesungan, Gondangrejo. Sedangkan sejumlah sekolah di sekitar TPA Putri Cempo sudah aman dari imbas asap kebakaran Putri Cempo.Gibran meminta maaf kepada warga terdampak asap kebakaran, terutama warga Desa Plesungan yang wilayahnya sudah di luar Surakarta. Gibran juga menyebut akan segera menyelesaikan kebakaran TPA Putri Cempo dengan menginstruksikan pemadaman menggunakan water bombing."
 Bandung Raya Diminta Tata Kelola Sampah Lebih Baik,Headline News,https://cdn01.metrotvnews.com/dynamic/content/2023/09/19/bzGCg8w8/t_6509a207d86fb.jpg?w=300, Bandung Raya Diminta Tata Kelola Sampah Lebih Baik,
